"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"1565","Rest of NSW","Sep.14","180","250",300,"387.5"
"1566","New South Wales","Sep.14","410","420",400,"485"
"1567","GREATER SYDNEY","Dec.14","450","500",495,"600"
"1568","Inner Ring","Dec.14","499","650",850,"1250"
"1569","Ashfield","Dec.14","370","450",650,"850"
"1570","Botany Bay","Dec.14","490","550",680,"-"
"1571","Lane Cove","Dec.14","482.5","500",750,"1175"
"1572","Leichhardt","Dec.14","420","630",825,"1097.5"
"1573","Marrickville","Dec.14","380","500",744,"905"
"1574","Mosman","Dec.14","450","597.5",975,"1890"
"1575","North Sydney","Dec.14","490","650",915,"1500"
"1576","Randwick","Dec.14","490","590",790,"1250"
"1577","Sydney","Dec.14","520","700",935,"1200"
"1578","Waverley","Dec.14","525","695",1000,"1767.5"
"1579","Woollahra","Dec.14","490","680",1097.5,"1575"
"1580","Middle Ring","Dec.14","430","470",575,"720"
"1581","Auburn","Dec.14","425","470",525,"590"
"1582","Bankstown","Dec.14","275","400",490,"610"
"1583","Burwood","Dec.14","410","510",620,"750"
"1584","Canterbury","Dec.14","320","380",550,"670"
"1585","Canada Bay","Dec.14","510","600",740,"880"
"1586","Hunters Hill","Dec.14","360","600",820,"-"
"1587","Hurstville","Dec.14","375","440",550,"680"
"1588","Kogarah","Dec.14","330","450",560,"655"
"1589","Ku-Ring-Gai","Dec.14","480","600",780,"1100"
"1590","Manly","Dec.14","530","700",1000,"1395"
"1591","Parramatta","Dec.14","362.5","420",500,"620"
"1592","Rockdale","Dec.14","450","492.5",600,"700"
"1593","Ryde","Dec.14","400","440",620,"780"
"1594","Strathfield","Dec.14","390","480",600,"712.5"
"1595","Willoughby","Dec.14","500","600",870,"1350"
"1596","Outer Ring","Dec.14","300","380",430,"550"
"1597","The Hills Shire","Dec.14","400","500",562.5,"680"
"1598","Blacktown","Dec.14","250","360",410,"510"
"1599","Blue Mountains","Dec.14","250","330",400,"480"
"1600","Camden","Dec.14","340","360",430,"520"
"1601","Campbelltown","Dec.14","250","330",390,"472.5"
"1602","Fairfield","Dec.14","250","330",435,"505"
"1603","Gosford","Dec.14","240","340",405,"535"
"1604","Hawkesbury","Dec.14","232.5","320",420,"500"
"1605","Holroyd","Dec.14","290","400",460,"600"
"1606","Hornsby","Dec.14","390","480",579.5,"725"
"1607","Liverpool","Dec.14","260","340",450,"550"
"1608","Penrith","Dec.14","240","310",400,"500"
"1609","Pittwater","Dec.14","400","600",815,"1030"
"1610","Sutherland Shire","Dec.14","350","450",620,"750"
"1611","Warringah","Dec.14","440","557.5",805,"1050"
"1612","Wollondilly","Dec.14","-","310",370,"535"
"1613","Wyong","Dec.14","210","300",365,"450"
"1614","Rest of GMR","Dec.14","230","325",380,"442.5"
"1615","Cessnock","Dec.14","190","250",300,"370"
"1616","Kiama","Dec.14","-","360",460,"525"
"1617","Lake Macquarie","Dec.14","225","320",380,"460"
"1618","Maitland","Dec.14","180","280",330,"390"
"1619","Newcastle","Dec.14","250","360",410,"492.5"
"1620","Port Stephens","Dec.14","197.5","272.5",350,"430"
"1621","Shellharbour","Dec.14","-","310",400,"520"
"1622","Wollongong","Dec.14","245","340",435,"545"
"1623","Rest of NSW","Dec.14","180","245",310,"380"
"1624","New South Wales","Dec.14","420","420",410,"500"
"1625","GREATER SYDNEY","Mar.15","460","500",500,"620"
"1626","Inner Ring","Mar.15","500","650",870,"1200"
"1627","Ashfield","Mar.15","367.5","460",680,"890"
"1628","Botany Bay","Mar.15","510","600",690,"1000"
"1629","Lane Cove","Mar.15","495","515",760,"1200"
"1630","Leichhardt","Mar.15","420","670",845,"1200"
"1631","Marrickville","Mar.15","400","520",777.5,"977.5"
"1632","Mosman","Mar.15","450","605",1075,"2150"
"1633","North Sydney","Mar.15","480","637.5",900,"1237.5"
"1634","Randwick","Mar.15","485","600",800,"1150"
"1635","Sydney","Mar.15","530","700",950,"1100"
"1636","Waverley","Mar.15","510","695",1020,"1600"
"1637","Woollahra","Mar.15","480","699",1200,"1600"
"1638","Middle Ring","Mar.15","450","480",580,"750"
"1639","Auburn","Mar.15","435","460",530,"610"
"1640","Bankstown","Mar.15","270","400",500,"630"
"1641","Burwood","Mar.15","425","520",632.5,"815"
"1642","Canterbury","Mar.15","300","380",550,"650"
"1643","Canada Bay","Mar.15","500","610",740,"950"
"1644","Hunters Hill","Mar.15","392.5","590",965,"1475"
"1645","Hurstville","Mar.15","390","430",550,"700"
"1646","Kogarah","Mar.15","400","467.5",580,"780"
"1647","Ku-Ring-Gai","Mar.15","470","600",770,"1100"
"1648","Manly","Mar.15","530","695",997.5,"1500"
"1649","Parramatta","Mar.15","355","420",500,"600"
"1650","Rockdale","Mar.15","450","500",600,"735"
"1651","Ryde","Mar.15","460","450",650,"750"
"1652","Strathfield","Mar.15","400","490",600,"760"
"1653","Willoughby","Mar.15","515","642.5",850,"1200"
"1654","Outer Ring","Mar.15","302.5","390",430,"550"
"1655","The Hills Shire","Mar.15","395","500",570,"680"
"1656","Blacktown","Mar.15","250","360",410,"540"
"1657","Blue Mountains","Mar.15","245","335",400,"490"
"1658","Camden","Mar.15","-","375",435,"530"
"1659","Campbelltown","Mar.15","255","330",390,"480"
"1660","Fairfield","Mar.15","240","330",435,"500"
"1661","Gosford","Mar.15","250","350",420,"550"
"1662","Hawkesbury","Mar.15","240","320",420,"500"
"1663","Holroyd","Mar.15","302.5","400",475,"577.5"
"1664","Hornsby","Mar.15","390","482.5",590,"750"
"1665","Liverpool","Mar.15","270","350",450,"560"
"1666","Penrith","Mar.15","250","310",400,"495"
"1667","Pittwater","Mar.15","400","595",800,"1100"
"1668","Sutherland Shire","Mar.15","360","450",600,"770"
"1669","Warringah","Mar.15","425","565",795,"1088"
"1670","Wollondilly","Mar.15","245","320",382.5,"490"
"1671","Wyong","Mar.15","220","310",370,"450"
"1672","Rest of GMR","Mar.15","240","330",380.5,"440"
"1673","Cessnock","Mar.15","182.5","255",300,"380"
"1674","Kiama","Mar.15","-","375",460,"500"
"1675","Lake Macquarie","Mar.15","230","320",380,"470"
"1676","Maitland","Mar.15","197.5","272.5",330,"390"
"1677","Newcastle","Mar.15","240","365",420,"455"
"1678","Port Stephens","Mar.15","215","285",350,"440"
"1679","Shellharbour","Mar.15","-","310",410,"520"
"1680","Wollongong","Mar.15","250","350",450,"555"
"1681","Rest of NSW","Mar.15","180","250",320,"390"
"1682","New South Wales","Mar.15","420","425",410,"500"
"1683","GREATER SYDNEY","Jun.15","460","500",500,"610"
"1684","Inner Ring","Jun.15","500","650",900,"1200"
"1685","Ashfield","Jun.15","370","450",630,"880"
"1686","Botany Bay","Jun.15","530","640",720,"925"
"1687","Lane Cove","Jun.15","495","522.5",770,"1200"
"1688","Leichhardt","Jun.15","440","650",850,"1195"
"1689","Marrickville","Jun.15","390","525",765,"975"
"1690","Mosman","Jun.15","460","632.5",1150,"1975"
"1691","North Sydney","Jun.15","500","650",895,"1440"
"1692","Randwick","Jun.15","480","600",850,"1260"
"1693","Sydney","Jun.15","525","720",960,"1100"
"1694","Waverley","Jun.15","515","680",972.5,"1450"
"1695","Woollahra","Jun.15","480","700",1195,"1600"
"1696","Middle Ring","Jun.15","450","480",580,"750"
"1697","Auburn","Jun.15","450","450",515,"650"
"1698","Bankstown","Jun.15","250","400",500,"620"
"1699","Burwood","Jun.15","392.5","510",620,"800"
"1700","Canterbury","Jun.15","330","380",550,"660"
"1701","Canada Bay","Jun.15","510","620",760,"995"
"1702","Hunters Hill","Jun.15","400","562.5",790,"1295"
"1703","Hurstville","Jun.15","385","447.5",575,"680"
"1704","Kogarah","Jun.15","405","475",580,"790"
"1705","Ku-Ring-Gai","Jun.15","480","600",785,"1130"
"1706","Manly","Jun.15","530","730",950,"1475"
"1707","Parramatta","Jun.15","345","430",510,"600"
"1708","Rockdale","Jun.15","450","500",620,"737.5"
"1709","Ryde","Jun.15","450","485",650,"800"
"1710","Strathfield","Jun.15","395","490",610,"800"
"1711","Willoughby","Jun.15","515","600",915,"1190"
"1712","Outer Ring","Jun.15","310","380",430,"550"
"1713","The Hills Shire","Jun.15","350","500",560,"700"
"1714","Blacktown","Jun.15","270","370",420,"550"
"1715","Blue Mountains","Jun.15","250","350",400,"480"
"1716","Camden","Jun.15","300","400",445,"535"
"1717","Campbelltown","Jun.15","267.5","350",395,"490"
"1718","Fairfield","Jun.15","259.15","330",435,"520"
"1719","Gosford","Jun.15","260","350",430,"540"
"1720","Hawkesbury","Jun.15","280","320",420,"547.5"
"1721","Holroyd","Jun.15","300","400",470,"600"
"1722","Hornsby","Jun.15","380","490",600,"750"
"1723","Liverpool","Jun.15","270","350",450,"560"
"1724","Penrith","Jun.15","245","310",400,"500"
"1725","Pittwater","Jun.15","410","595",800,"1050"
"1726","Sutherland Shire","Jun.15","350","450",615,"780"
"1727","Warringah","Jun.15","430","570",780,"1030"
"1728","Wollondilly","Jun.15","-","320",400,"530"
"1729","Wyong","Jun.15","225","310",380,"455"
"1730","Rest of GMR","Jun.15","230","330",380,"450"
"1731","Cessnock","Jun.15","187.5","250",300,"370"
"1732","Kiama","Jun.15","-","380",450,"530"
"1733","Lake Macquarie","Jun.15","210","330",380,"480"
"1734","Maitland","Jun.15","180","270",340,"397.5"
"1735","Newcastle","Jun.15","247.5","360",410,"480"
"1736","Port Stephens","Jun.15","220","285",350,"422.5"
"1737","Shellharbour","Jun.15","-","330",415,"530"
"1738","Wollongong","Jun.15","245","350",450,"580"
"1739","Rest of NSW","Jun.15","180","250",320,"390"
"1740","New South Wales","Jun.15","420","430",410,"500"
"1741","GREATER SYDNEY","Sep.15","450","510",500,"620"
"1742","Inner Ring","Sep.15","495","650",880,"1200"
"1743","Ashfield","Sep.15","380","465",690,"-"
"1744","Botany Bay","Sep.15","520","640",730,"895"
"1745","Lane Cove","Sep.15","500","520",780,"1400"
"1746","Leichhardt","Sep.15","450","680",870,"1200"
"1747","Marrickville","Sep.15","400","530",775,"900"
"1748","Mosman","Sep.15","450","600",1100,"1750"
"1749","North Sydney","Sep.15","485","650",920,"1325"
"1750","Randwick","Sep.15","480","600",850,"1185"
"1751","Sydney","Sep.15","520","720",950,"1125"
"1752","Waverley","Sep.15","500","675",995,"1500"
"1753","Woollahra","Sep.15","480","680",1085,"1900"
"1754","Middle Ring","Sep.15","440","480",590,"750"
"1755","Auburn","Sep.15","440","477.5",530,"650"
"1756","Bankstown","Sep.15","250","410",500,"650"
"1757","Burwood","Sep.15","390","540",670,"-"
"1758","Canterbury","Sep.15","330","400",550,"700"
"1759","Canada Bay","Sep.15","510","620",750,"900"
"1760","Hunters Hill","Sep.15","395","582.5",820,"1200"
"1761","Hurstville","Sep.15","360","430",570,"700"
"1762","Kogarah","Sep.15","385","470",590,"735"
"1763","Ku-Ring-Gai","Sep.15","475","600",800,"1150"
"1764","Manly","Sep.15","525","680",1000,"1500"
"1765","Parramatta","Sep.15","370","440",520,"630"
"1766","Rockdale","Sep.15","422.5","500",600,"690"
"1767","Ryde","Sep.15","460","490",650,"800"
"1768","Strathfield","Sep.15","400","500",580,"750"
"1769","Willoughby","Sep.15","530","605",912.5,"1275"
"1770","Outer Ring","Sep.15","320","400",440,"560"
"1771","The Hills Shire","Sep.15","402.5","500",570,"680"
"1772","Blacktown","Sep.15","250","370",420,"550"
"1773","Blue Mountains","Sep.15","250","350",420,"485"
"1774","Camden","Sep.15","-","400",450,"540"
"1775","Campbelltown","Sep.15","250","350",400,"480"
"1776","Fairfield","Sep.15","270","335",450,"530"
"1777","Gosford","Sep.15","250","350",430,"550"
"1778","Hawkesbury","Sep.15","242.5","330",420,"565"
"1779","Holroyd","Sep.15","285","410",480,"590"
"1780","Hornsby","Sep.15","400","500",600,"750"
"1781","Liverpool","Sep.15","282.5","350",460,"550"
"1782","Penrith","Sep.15","250","320",410,"520"
"1783","Pittwater","Sep.15","400","585",820,"1100"
"1784","Sutherland Shire","Sep.15","365","450",622.5,"757.5"
"1785","Warringah","Sep.15","435","570",820,"1100"
"1786","Wollondilly","Sep.15","-","317.5",400,"550"
"1787","Wyong","Sep.15","235","320",380,"465"
"1788","Rest of GMR","Sep.15","230","335",385,"450"
"1789","Cessnock","Sep.15","190","260",300,"380"
"1790","Kiama","Sep.15","-","400",450,"550"
"1791","Lake Macquarie","Sep.15","230","330",385,"462.5"
"1792","Maitland","Sep.15","180","275",330,"400"
"1793","Newcastle","Sep.15","230","360",407.5,"455"
"1794","Port Stephens","Sep.15","202.5","280",350,"450"
"1795","Shellharbour","Sep.15","277.5","327.5",410,"550"
"1796","Wollongong","Sep.15","250","350",450,"552.5"
"1797","Rest of NSW","Sep.15","180","250",320,"395"
"1798","New South Wales","Sep.15","419","440",420,"520"
"1799","GREATER SYDNEY","Dec.15","465","510",502.5,"620"
"1800","Inner Ring","Dec.15","510","660",900,"1250"
"1801","Ashfield","Dec.15","385","480",665,"872.5"
"1802","Botany Bay","Dec.15","500","620",700,"1000"
"1803","Lane Cove","Dec.15","490","550",795,"1100"
"1804","Leichhardt","Dec.15","477.5","690",870,"1150"
"1805","Marrickville","Dec.15","400","550",800,"985"
"1806","Mosman","Dec.15","490","630",1100,"2500"
"1807","North Sydney","Dec.15","500","650",950,"1525"
"1808","Randwick","Dec.15","500","620",850,"1200"
"1809","Sydney","Dec.15","535","740",980,"1200"
"1810","Waverley","Dec.15","550","730",1075,"1650"
"1811","Woollahra","Dec.15","505","700",1150,"2000"
"1812","Middle Ring","Dec.15","450","490",600,"750"
"1813","Auburn","Dec.15","450","500",550,"600"
"1814","Bankstown","Dec.15","250","410",500,"637.5"
"1815","Burwood","Dec.15","410","530",650,"750"
"1816","Canterbury","Dec.15","330","390",560,"680"
"1817","Canada Bay","Dec.15","500","620",760,"910"
"1818","Hunters Hill","Dec.15","360","607.5",850,"-"
"1819","Hurstville","Dec.15","400","450",570,"700"
"1820","Kogarah","Dec.15","400","465",570,"735"
"1821","Ku-Ring-Gai","Dec.15","485","602.5",815,"1200"
"1822","Manly","Dec.15","530","750",1100,"1460"
"1823","Parramatta","Dec.15","400","450",510,"620"
"1824","Rockdale","Dec.15","460","500",630,"720"
"1825","Ryde","Dec.15","470","480",650,"800"
"1826","Strathfield","Dec.15","420","500",615,"780"
"1827","Willoughby","Dec.15","527.5","630",900,"1300"
"1828","Outer Ring","Dec.15","320","400",450,"580"
"1829","The Hills Shire","Dec.15","420","500",580,"700"
"1830","Blacktown","Dec.15","250","375",430,"550"
"1831","Blue Mountains","Dec.15","252.5","340",420,"525"
"1832","Camden","Dec.15","320","382.5",450,"540"
"1833","Campbelltown","Dec.15","300","360",400,"500"
"1834","Fairfield","Dec.15","257.5","340",440,"550"
"1835","Gosford","Dec.15","265","357.5",440,"577.5"
"1836","Hawkesbury","Dec.15","260","340",435,"550"
"1837","Holroyd","Dec.15","315","400",495,"600"
"1838","Hornsby","Dec.15","390","510",600,"780"
"1839","Liverpool","Dec.15","297.5","360",460,"580"
"1840","Penrith","Dec.15","250","325",410,"520"
"1841","Pittwater","Dec.15","445","600",850,"1100"
"1842","Sutherland Shire","Dec.15","367.5","460",630,"780"
"1843","Warringah","Dec.15","450","580",815,"1150"
"1844","Wollondilly","Dec.15","270","320",420,"540"
"1845","Wyong","Dec.15","240","325",390,"487.5"
"1846","Rest of GMR","Dec.15","245","340",395,"460"
"1847","Cessnock","Dec.15","195","260",300,"380"
"1848","Kiama","Dec.15","-","400",470,"615"
"1849","Lake Macquarie","Dec.15","225","330",390,"480"
"1850","Maitland","Dec.15","190","280",340,"400"
"1851","Newcastle","Dec.15","250","360",405,"480"
"1852","Port Stephens","Dec.15","230","280",360,"450"
"1853","Shellharbour","Dec.15","250","320",420,"545"
"1854","Wollongong","Dec.15","270","360",460,"560"
"1855","Rest of NSW","Dec.15","190","250",320,"400"
"1856","New South Wales","Dec.15","430","440",430,"530"
"1857","GREATER SYDNEY","Mar.16","470","515",520,"630"
"1858","Inner Ring","Mar.16","510","670",900,"1250"
"1859","Ashfield","Mar.16","385","472.5",700,"975"
"1860","Botany Bay","Mar.16","500","580",750,"1050"
"1861","Lane Cove","Mar.16","490","585",757.5,"1170"
"1862","Leichhardt","Mar.16","457.5","680",925,"1200"
"1863","Marrickville","Mar.16","417.5","550",800,"1100"
"1864","Mosman","Mar.16","470","650",1000,"1990"
"1865","North Sydney","Mar.16","510","650",950,"1675"
"1866","Randwick","Mar.16","500","630",850,"1200"
"1867","Sydney","Mar.16","530","750",960,"1190"
"1868","Waverley","Mar.16","560","725",1100,"1500"
"1869","Woollahra","Mar.16","495","740",1117.5,"1950"
"1870","Middle Ring","Mar.16","450","485",595,"750"
"1871","Auburn","Mar.16","450","480",540,"650"
"1872","Bankstown","Mar.16","280","410",500,"620"
"1873","Burwood","Mar.16","400","530",680,"900"
"1874","Canterbury","Mar.16","320","390",560,"700"
"1875","Canada Bay","Mar.16","520","630",775,"900"
"1876","Hunters Hill","Mar.16","-","580",770,"-"
"1877","Hurstville","Mar.16","400","450",580,"700"
"1878","Kogarah","Mar.16","395","470",580,"700"
"1879","Ku-Ring-Gai","Mar.16","500","620",810,"1100"
"1880","Manly","Mar.16","560","740",1150,"1610"
"1881","Parramatta","Mar.16","380","430",510,"620"
"1882","Rockdale","Mar.16","460","500",600,"765"
"1883","Ryde","Mar.16","450","470",650,"820"
"1884","Strathfield","Mar.16","430","500",585,"800"
"1885","Willoughby","Mar.16","512.5","650",900,"1350"
"1886","Outer Ring","Mar.16","320","400",450,"575"
"1887","The Hills Shire","Mar.16","410","510",580,"695"
"1888","Blacktown","Mar.16","267.5","370",420,"575"
"1889","Blue Mountains","Mar.16","260","360",420,"520"
"1890","Camden","Mar.16","-","390",450,"540"
"1891","Campbelltown","Mar.16","270","350",400,"480"
"1892","Fairfield","Mar.16","250","332.5",445,"540"
"1893","Gosford","Mar.16","265","360",450,"580"
"1894","Hawkesbury","Mar.16","280","350",440,"570"
"1895","Holroyd","Mar.16","300","400",480,"600"
"1896","Hornsby","Mar.16","420","510",615,"750"
"1897","Liverpool","Mar.16","340","380",470,"557.5"
"1898","Penrith","Mar.16","250","325",415,"525"
"1899","Pittwater","Mar.16","425","585",850,"1200"
"1900","Sutherland Shire","Mar.16","360","460",640,"780"
"1901","Warringah","Mar.16","450","595",850,"1100"
"1902","Wollondilly","Mar.16","-","320",420,"550"
"1903","Wyong","Mar.16","250","325",390,"480"
"1904","Rest of GMR","Mar.16","240","340",400,"470"
"1905","Cessnock","Mar.16","187.5","260",305,"380"
"1906","Kiama","Mar.16","-","380",500,"550"
"1907","Lake Macquarie","Mar.16","240","325",385,"485"
"1908","Maitland","Mar.16","190","285",340,"400"
"1909","Newcastle","Mar.16","230","370",425,"470"
"1910","Port Stephens","Mar.16","220","290",360,"460"
"1911","Shellharbour","Mar.16","-","340",440,"550"
"1912","Wollongong","Mar.16","260","360",470,"600"
"1913","Rest of NSW","Mar.16","190","250",320,"400"
"1914","New South Wales","Mar.16","428","440",430,"520"
"1915","GREATER SYDNEY","Jun.16","480","520",510,"620"
"1916","Inner Ring","Jun.16","525","680",915,"1300"
"1917","Ashfield","Jun.16","385","480",660,"812.5"
"1918","Botany Bay","Jun.16","600","630",750,"-"
"1919","Lane Cove","Jun.16","510","580",790,"1300"
"1920","Leichhardt","Jun.16","460","700",900,"1187.5"
"1921","Marrickville","Jun.16","417.5","570",785,"1100"
"1922","Mosman","Jun.16","500","650",1100,"2000"
"1923","North Sydney","Jun.16","500","660",950,"1500"
"1924","Randwick","Jun.16","500","630",875,"1200"
"1925","Sydney","Jun.16","540","750",1000,"1150"
"1926","Waverley","Jun.16","550","720",1035,"1650"
"1927","Woollahra","Jun.16","505","700",1200,"1797.5"
"1928","Middle Ring","Jun.16","460","500",600,"750"
"1929","Auburn","Jun.16","462.5","500",550,"650"
"1930","Bankstown","Jun.16","270","420",500,"650"
"1931","Burwood","Jun.16","500","580",697.5,"855"
"1932","Canterbury","Jun.16","320","400",580,"690"
"1933","Canada Bay","Jun.16","530","630",790,"955"
"1934","Hunters Hill","Jun.16","-","615",900,"1290"
"1935","Hurstville","Jun.16","400","450",580,"685"
"1936","Kogarah","Jun.16","400","470",590,"760"
"1937","Ku-Ring-Gai","Jun.16","500","630",800,"1050"
"1938","Manly","Jun.16","577.5","723",1100,"1675"
"1939","Parramatta","Jun.16","375","450",520,"630"
"1940","Rockdale","Jun.16","470","520",650,"770"
"1941","Ryde","Jun.16","450","480",660,"827.5"
"1942","Strathfield","Jun.16","440","515",600,"780"
"1943","Willoughby","Jun.16","540","685",877.5,"1290"
"1944","Outer Ring","Jun.16","330","400",450,"570"
"1945","The Hills Shire","Jun.16","395","510",575,"700"
"1946","Blacktown","Jun.16","270","380",425,"560"
"1947","Blue Mountains","Jun.16","270","355",420,"530"
"1948","Camden","Jun.16","295","375",450,"540"
"1949","Campbelltown","Jun.16","290","350",400,"500"
"1950","Fairfield","Jun.16","250","340",450,"525"
"1951","Gosford","Jun.16","270","360",450,"580"
"1952","Hawkesbury","Jun.16","280","340",430,"525"
"1953","Holroyd","Jun.16","320","420",480,"600"
"1954","Hornsby","Jun.16","410","510",617.5,"750"
"1955","Liverpool","Jun.16","290","350",460,"577.5"
"1956","Penrith","Jun.16","250","330",420,"520"
"1957","Pittwater","Jun.16","425","625",800,"1150"
"1958","Sutherland Shire","Jun.16","370","470",650,"780"
"1959","Warringah","Jun.16","450","600",820,"1100"
"1960","Wollondilly","Jun.16","260","340",415,"532.5"
"1961","Wyong","Jun.16","245","330",395,"480"
"1962","Rest of GMR","Jun.16","240","345",390,"465"
"1963","Cessnock","Jun.16","187.5","260",300,"380"
"1964","Kiama","Jun.16","-","400",495,"560"
"1965","Lake Macquarie","Jun.16","230","340",380,"490"
"1966","Maitland","Jun.16","190","280",340,"410"
"1967","Newcastle","Jun.16","240","370",415,"490"
"1968","Port Stephens","Jun.16","230","300",360,"450"
"1969","Shellharbour","Jun.16","260","328",435,"550"
"1970","Wollongong","Jun.16","270","365",470,"580"
"1971","Rest of NSW","Jun.16","190","255",320,"400"
"1972","New South Wales","Jun.16","435","445",425,"520"
"1973","GREATER SYDNEY","Sep.16","480","530",520,"630"
"1974","Inner Ring","Sep.16","520","685",930,"1300"
"1975","Ashfield","Sep.16","395","480",700,"850"
"1976","Botany Bay","Sep.16","580","630",750,"1000"
"1977","Lane Cove","Sep.16","500","590",800,"1275"
"1978","Leichhardt","Sep.16","460","700",895,"1100"
"1979","Marrickville","Sep.16","430","570",798,"1000"
"1980","Mosman","Sep.16","475","650",1140,"2100"
"1981","North Sydney","Sep.16","520","685",990,"1450"
"1982","Randwick","Sep.16","500","620",880,"1300"
"1983","Sydney","Sep.16","530","750",1000,"1250"
"1984","Waverley","Sep.16","550","725",1070,"1550"
"1985","Woollahra","Sep.16","490","700",1150,"1890"
"1986","Middle Ring","Sep.16","470","510",610,"760"
"1987","Auburn","Sep.16","460","530",580,"670"
"1988","Bankstown","Sep.16","290","420",500,"650"
"1989","Burwood","Sep.16","495","600",690,"-"
"1990","Canterbury","Sep.16","410","420",570,"700"
"1991","Canada Bay","Sep.16","533","640",793,"850"
"1992","Hunters Hill","Sep.16","-","500",925,"-"
"1993","Hurstville","Sep.16","440","490",600,"695"
"1994","Kogarah","Sep.16","390","480",580,"800"
"1995","Ku-Ring-Gai","Sep.16","485","620",790,"1150"
"1996","Manly","Sep.16","550","750",1063,"1600"
"1997","Parramatta","Sep.16","400","460",530,"650"
"1998","Rockdale","Sep.16","480","550",640,"810"
"1999","Ryde","Sep.16","470","495",660,"800"
"2000","Strathfield","Sep.16","430","520",630,"820"
"2001","Willoughby","Sep.16","560","690",950,"1300"
"2002","Outer Ring","Sep.16","330","400",450,"580"
"2003","The Hills Shire","Sep.16","410","520",595,"700"
"2004","Blacktown","Sep.16","290","380",430,"580"
"2005","Blue Mountains","Sep.16","278","360",420,"520"
"2006","Camden","Sep.16","320","390",460,"540"
"2007","Campbelltown","Sep.16","280","350",405,"500"
"2008","Fairfield","Sep.16","270","350",450,"530"
"2009","Gosford","Sep.16","270","360",440,"580"
"2010","Hawkesbury","Sep.16","250","350",430,"550"
"2011","Holroyd","Sep.16","320","420",500,"600"
"2012","Hornsby","Sep.16","400","513",610,"790"
"2013","Liverpool","Sep.16","290","368",463,"570"
"2014","Penrith","Sep.16","250","330",418,"530"
"2015","Pittwater","Sep.16","450","623",823,"1175"
"2016","Sutherland Shire","Sep.16","370","470",638,"800"
"2017","Warringah","Sep.16","460","595",825,"1140"
"2018","Wollondilly","Sep.16","-","340",420,"550"
"2019","Wyong","Sep.16","240","330",390,"485"
"2020","Rest of GMR","Sep.16","240","340",400,"470"
"2021","Cessnock","Sep.16","190","260",310,"380"
"2022","Kiama","Sep.16","-","400",480,"580"
"2023","Lake Macquarie","Sep.16","245","335",390,"480"
"2024","Maitland","Sep.16","188","280",330,"410"
"2025","Newcastle","Sep.16","240","360",425,"493"
"2026","Port Stephens","Sep.16","220","290",360,"470"
"2027","Shellharbour","Sep.16","-","330",450,"560"
"2028","Wollongong","Sep.16","260","360",470,"575"
"2029","Rest of NSW","Sep.16","190","255",325,"400"
"2030","New South Wales","Sep.16","450","450",430,"530"
"2031","GREATER SYDNEY","Dec.16","480","520",530,"630"
"2032","Inner Ring","Dec.16","530","700",925,"1285"
"2033","Ashfield","Dec.16","390","480",705,"785"
"2034","Botany Bay","Dec.16","550","680",790,"1120"
"2035","Lane Cove","Dec.16","510","600",800,"1275"
"2036","Leichhardt","Dec.16","465","700",885,"1172.5"
"2037","Marrickville","Dec.16","440","580",800,"970"
"2038","Mosman","Dec.16","480","650",1150,"1850"
"2039","North Sydney","Dec.16","525","695",950,"1400"
"2040","Randwick","Dec.16","520","650",900,"1250"
"2041","Sydney","Dec.16","550","750",1000,"1200"
"2042","Waverley","Dec.16","600","770",1100,"1600"
"2043","Woollahra","Dec.16","522.5","750",1262.5,"2100"
"2044","Middle Ring","Dec.16","460","500",620,"780"
"2045","Auburn","Dec.16","450","520",550,"655"
"2046","Bankstown","Dec.16","290","420",520,"650"
"2047","Burwood","Dec.16","445","550",650,"915"
"2048","Canterbury","Dec.16","350","420",580,"710"
"2049","Canada Bay","Dec.16","530","640",790,"985"
"2050","Hunters Hill","Dec.16","-","575",900,"1350"
"2051","Hurstville","Dec.16","405","470",607.5,"750"
"2052","Kogarah","Dec.16","412.5","480",610,"775"
"2053","Ku-Ring-Gai","Dec.16","485","630",850,"1200"
"2054","Manly","Dec.16","590","750",1162.5,"1612.5"
"2055","Parramatta","Dec.16","400","455",530,"655"
"2056","Rockdale","Dec.16","460","500",635,"750"
"2057","Ryde","Dec.16","450","500",660,"850"
"2058","Strathfield","Dec.16","460","540",650,"780"
"2059","Willoughby","Dec.16","550","650",950,"1275"
"2060","Outer Ring","Dec.16","350","410",450,"585"
"2061","The Hills Shire","Dec.16","450","520",600,"700"
"2062","Blacktown","Dec.16","275","370",430,"580"
"2063","Blue Mountains","Dec.16","292.5","360",420,"532.5"
"2064","Camden","Dec.16","300","380",450,"540"
"2065","Campbelltown","Dec.16","295","350",410,"500"
"2066","Fairfield","Dec.16","260","350",450,"565"
"2067","Gosford","Dec.16","280","360",450,"595"
"2068","Hawkesbury","Dec.16","277.5","350",440,"600"
"2069","Holroyd","Dec.16","317.5","420",500,"630"
"2070","Hornsby","Dec.16","430","500",630,"780"
"2071","Liverpool","Dec.16","295","370",470,"580"
"2072","Penrith","Dec.16","250","340",420,"540"
"2073","Pittwater","Dec.16","450","620",850,"1150"
"2074","Sutherland Shire","Dec.16","380","480",650,"817.5"
"2075","Warringah","Dec.16","470","610",850,"1150"
"2076","Wollondilly","Dec.16","-","350",425,"550"
