"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"332","Penrith","Jun.09","170","230",300,"385"
"333","Pittwater","Jun.09","300","440",600,"790"
"334","Sutherland Shire","Jun.09","260","350",480,"580"
"335","Warringah","Jun.09","340","430",620,"772.5"
"336","Wollondilly","Jun.09","175","220",285,"400"
"337","Wyong","Jun.09","160","230",280,"360"
"338","Rest of GMR","Jun.09","170","260",310,"375"
"339","Cessnock","Jun.09","140","210",250,"310"
"340","Kiama","Jun.09","-","260",330,"400"
"341","Lake Macquarie","Jun.09","172.5","260",300,"390"
"342","Maitland","Jun.09","150","220",285,"350"
"343","Newcastle","Jun.09","180","280",340,"390"
"344","Port Stephens","Jun.09","170","220",275,"335"
"345","Shellharbour","Jun.09","170","225",310,"400"
"346","Wollongong","Jun.09","170","255",340,"420"
"347","Rest of NSW","Jun.09","140","190",250,"320"
"348","New South Wales","Jun.09","320","325",320,"400"
"349","GREATER SYDNEY","Sep.09","360","395",400,"500"
"350","Inner Ring","Sep.09","400","500",695,"950"
"351","Ashfield","Sep.09","300","360",500,"615"
"352","Botany Bay","Sep.09","300","420",550,"700"
"353","Lane Cove","Sep.09","335","395",600,"1028"
"354","Leichhardt","Sep.09","350","520",630,"897.5"
"355","Marrickville","Sep.09","295","400",520,"635"
"356","Mosman","Sep.09","350","497.5",825,"1500"
"357","North Sydney","Sep.09","385","500",700,"1050"
"358","Randwick","Sep.09","370","452.5",650,"950"
"359","Sydney","Sep.09","425","570",750,"800"
"360","Waverley","Sep.09","395","500",750,"1080"
"361","Woollahra","Sep.09","400","535",950,"1510.4"
"362","Middle Ring","Sep.09","350","375",470,"620"
"363","Auburn","Sep.09","365","360",430,"450"
"364","Bankstown","Sep.09","210","320",380,"470"
"365","Burwood","Sep.09","300","400",500,"600"
"366","Canterbury","Sep.09","245","300",450,"500"
"367","Canada Bay","Sep.09","410","490",600,"750"
"368","Hunters Hill","Sep.09","320","397.5",655,"845"
"369","Hurstville","Sep.09","290","350",450,"550"
"370","Kogarah","Sep.09","287.5","360",460,"530"
"371","Ku-Ring-Gai","Sep.09","325","450",650,"850"
"372","Manly","Sep.09","380","530",750,"1075"
"373","Parramatta","Sep.09","310","350",400,"480"
"374","Rockdale","Sep.09","300","365",460,"570"
"375","Ryde","Sep.09","280","350",500,"620"
"376","Strathfield","Sep.09","340","420",477.5,"600"
"377","Willoughby","Sep.09","430","500",680,"950"
"378","Outer Ring","Sep.09","240","310",340,"460"
"379","The Hills Shire","Sep.09","260","367.5",440,"555"
"380","Blacktown","Sep.09","197.5","300",335,"450"
"381","Blue Mountains","Sep.09","190","250",280,"380"
