"","LGA","year","freq_daily","freq_less_weekly","freq_never","freq_weekly"
"383","Federation","2010",12.1,24.2,27.3,36.3
"384","Federation","2011",11,25.4,27.5,36.1
"385","Federation","2012",11,24.5,28.2,36.2
"386","Federation","2013",11.6,25.9,26.6,35.9
"387","Federation","2014",11.4,25.3,32.2,31.1
"388","Federation","2015",10.9,21.1,35.1,32.9
"389","Federation","2016",10,21.7,32.9,35.3
"390","Federation","2017",9.7,23,30.6,36.7
"391","Forbes","2008",10.1,26.8,29.9,33.2
"392","Forbes","2009",11.8,23.7,30.1,34.3
"393","Forbes","2010",11.6,23.6,29.9,34.9
"394","Forbes","2011",10.1,26.3,29.2,34.4
"395","Forbes","2012",9.1,30,28.4,32.5
"396","Forbes","2013",8.3,30.3,28.9,32.5
"397","Forbes","2014",8.4,28.2,30.3,33.1
"398","Forbes","2015",9.2,29.7,29.6,31.6
"399","Forbes","2016",10.5,29.6,25.4,34.6
"400","Forbes","2017",11.8,28.5,24.6,35.1
"401","Georges River","2008",9.3,25.2,29.9,35.6
"402","Georges River","2009",9.1,24.9,29.2,36.9
"403","Georges River","2010",7.6,24.9,29.4,38.1
"404","Georges River","2011",8.1,25.9,28,38
"405","Georges River","2012",9,26.7,26.7,37.6
"406","Georges River","2013",7.5,25.6,29.7,37.2
"407","Georges River","2014",6.1,27,31.9,35.1
"408","Georges River","2015",5.6,27.5,30.7,36.2
"409","Georges River","2016",5.3,25.4,27.3,42.1
"410","Georges River","2017",6.9,23.5,22.5,47.1
"411","Gilgandra","2008",10.1,26.8,29.9,33.2
"412","Gilgandra","2009",11.8,23.7,30.1,34.3
"413","Gilgandra","2010",11.6,23.6,29.9,34.9
"414","Gilgandra","2011",10.1,26.3,29.2,34.4
"415","Gilgandra","2012",9.1,30,28.4,32.5
"416","Gilgandra","2013",8.3,30.3,28.9,32.5
"417","Gilgandra","2014",8.4,28.2,30.3,33.1
"418","Gilgandra","2015",9.2,29.7,29.6,31.6
"419","Gilgandra","2016",10.5,29.6,25.4,34.6
"420","Gilgandra","2017",11.8,28.5,24.6,35.1
"421","Glen Innes Severn","2008",11.7,22.4,30.5,35.4
"422","Glen Innes Severn","2009",12.5,21.9,30.1,35.4
"423","Glen Innes Severn","2010",12.3,22.3,31,34.4
"424","Glen Innes Severn","2011",12.1,25,29.8,33.1
"425","Glen Innes Severn","2012",11.7,27.8,25.2,35.3
"426","Glen Innes Severn","2013",11,28.4,25.6,35
"427","Glen Innes Severn","2014",9.4,27.4,28.5,34.7
"428","Glen Innes Severn","2015",8.6,25.8,28,37.6
"429","Glen Innes Severn","2016",8.3,24.3,27.7,39.6
"430","Glen Innes Severn","2017",8.8,25,26.4,39.8
"431","Goulburn Mulwaree","2008",14.1,21.2,26.9,37.8
"432","Goulburn Mulwaree","2009",14.5,21.3,26.2,38
"433","Goulburn Mulwaree","2010",14.6,22.1,26.5,36.9
"434","Goulburn Mulwaree","2011",14.7,24.4,24.8,36.1
"435","Goulburn Mulwaree","2012",13.4,26.8,22.7,37.1
"436","Goulburn Mulwaree","2013",11.6,27.5,23.8,37.1
"437","Goulburn Mulwaree","2014",10,28.2,24.9,36.9
"438","Goulburn Mulwaree","2015",9.7,26.1,25.2,39
"439","Goulburn Mulwaree","2016",11.4,24.8,25.2,38.5
"440","Goulburn Mulwaree","2017",10.5,26.1,24.7,38.7
"441","Greater Hume Shire","2008",11.6,21.9,26.7,39.7
"442","Greater Hume Shire","2009",12.7,23,25.9,38.5
"443","Greater Hume Shire","2010",12.1,24.2,27.3,36.3
"444","Greater Hume Shire","2011",11,25.4,27.5,36.1
"445","Greater Hume Shire","2012",11,24.5,28.2,36.2
"446","Greater Hume Shire","2013",11.6,25.9,26.6,35.9
"447","Greater Hume Shire","2014",11.4,25.3,32.2,31.1
"448","Greater Hume Shire","2015",10.9,21.1,35.1,32.9
"449","Greater Hume Shire","2016",10,21.7,32.9,35.3
"450","Greater Hume Shire","2017",9.7,23,30.6,36.7
"451","Griffith","2008",11.6,21.9,26.7,39.7
"452","Griffith","2009",12.7,23,25.9,38.5
"453","Griffith","2010",12.1,24.2,27.3,36.3
"454","Griffith","2011",11,25.4,27.5,36.1
"455","Griffith","2012",11,24.5,28.2,36.2
"456","Griffith","2013",11.6,25.9,26.6,35.9
"457","Griffith","2014",11.4,25.3,32.2,31.1
"458","Griffith","2015",10.9,21.1,35.1,32.9
"459","Griffith","2016",10,21.7,32.9,35.3
"460","Griffith","2017",9.7,23,30.6,36.7
"461","Gundagai","2008",11.6,21.9,26.7,39.7
"462","Gundagai","2009",12.7,23,25.9,38.5
"463","Gundagai","2010",12.1,24.2,27.3,36.3
"464","Gundagai","2011",11,25.4,27.5,36.1
"465","Gundagai","2012",11,24.5,28.2,36.2
"466","Gundagai","2013",11.6,25.9,26.6,35.9
"467","Gundagai","2014",11.4,25.3,32.2,31.1
"468","Gundagai","2015",10.9,21.1,35.1,32.9
"469","Gundagai","2016",10,21.7,32.9,35.3
"470","Gundagai","2017",9.7,23,30.6,36.7
"471","Gunnedah","2008",11.7,22.4,30.5,35.4
"472","Gunnedah","2009",12.5,21.9,30.1,35.4
"473","Gunnedah","2010",12.3,22.3,31,34.4
"474","Gunnedah","2011",12.1,25,29.8,33.1
"475","Gunnedah","2012",11.7,27.8,25.2,35.3
"476","Gunnedah","2013",11,28.4,25.6,35
"477","Gunnedah","2014",9.4,27.4,28.5,34.7
"478","Gunnedah","2015",8.6,25.8,28,37.6
"479","Gunnedah","2016",8.3,24.3,27.7,39.6
"480","Gunnedah","2017",8.8,25,26.4,39.8
"481","Gwydir","2008",11.7,22.4,30.5,35.4
"482","Gwydir","2009",12.5,21.9,30.1,35.4
"483","Gwydir","2010",12.3,22.3,31,34.4
"484","Gwydir","2011",12.1,25,29.8,33.1
"485","Gwydir","2012",11.7,27.8,25.2,35.3
"486","Gwydir","2013",11,28.4,25.6,35
