LGA,YEAR,Unemployment_rate
Warrumbungle Shire,2012,-
Warrumbungle Shire,2013,-
Warrumbungle Shire,2014,-
Warrumbungle Shire,2015,-
Warrumbungle Shire,2016,7.9
Warrumbungle Shire,2017,-
Waverley,2011,4.0999999999999996
Waverley,2012,-
Waverley,2013,-
Waverley,2014,-
Waverley,2015,-
Waverley,2016,3.8
Waverley,2017,-
Weddin,2011,4.8
Weddin,2012,-
Weddin,2013,-
Weddin,2014,-
Weddin,2015,-
Weddin,2016,5.2
Weddin,2017,-
Wentworth,2011,5.9
Wentworth,2012,-
Wentworth,2013,-
Wentworth,2014,-
Wentworth,2015,-
Wentworth,2016,6.1
Wentworth,2017,-
Willoughby,2011,4.5999999999999996
Willoughby,2012,-
Willoughby,2013,-
Willoughby,2014,-
Willoughby,2015,-
Willoughby,2016,5.0999999999999996
Willoughby,2017,-
Wingecarribee,2011,4.2
Wingecarribee,2012,-
Wingecarribee,2013,-
Wingecarribee,2014,-
Wingecarribee,2015,-
Wingecarribee,2016,3.8
Wingecarribee,2017,-
Wollondilly,2011,4.2
Wollondilly,2012,-
Wollondilly,2013,-
Wollondilly,2014,-
Wollondilly,2015,-
Wollondilly,2016,4
Wollondilly,2017,-
Wollongong,2011,7
Wollongong,2012,-
Wollongong,2013,-
Wollongong,2014,-
Wollongong,2015,-
Wollongong,2016,7.1
Wollongong,2017,-
Woollahra,2011,3.7
Woollahra,2012,-
Woollahra,2013,-
Woollahra,2014,-
Woollahra,2015,-
Woollahra,2016,3.3
Woollahra,2017,-
Yass Valley,2011,2.4
Yass Valley,2012,-
Yass Valley,2013,-
Yass Valley,2014,-
Yass Valley,2015,-
Yass Valley,2016,2.9
Yass Valley,2017,-
Unincorporated NSW,2011,2
Unincorporated NSW,2016,1.6
Unincorporated NSW,2017,-
No usual address,2016,22
Migratory - Offshore - Shipping,2016,3
