 Sex, Local Health Districts, year, Drinking frequency, Number of Respondents, Actual estimate (Per cent), LL 95% CI, UL 95% CI
 Males, Western Sydney LHD, 2012-2013, Daily,962,6,4.2,7.7
 Males, Western Sydney LHD, 2013-2014, Never,970,38.6,34.6,42.7
 Males, Western Sydney LHD, 2013-2014, Less than weekly,970,27.4,23.9,30.9
 Males, Western Sydney LHD, 2013-2014, Weekly,970,28.3,24.5,32.1
 Males, Western Sydney LHD, 2013-2014, Daily,970,5.7,4.1,7.2
 Males, Western Sydney LHD, 2014-2015, Never,914,37.4,31.4,43.4
 Males, Western Sydney LHD, 2014-2015, Less than weekly,914,27.1,22.4,31.8
 Males, Western Sydney LHD, 2014-2015, Weekly,914,25.9,21.1,30.7
 Males, Western Sydney LHD, 2014-2015, Daily,914,9.6,0.6,18.5
 Males, Western Sydney LHD, 2015-2016, Never,903,34,28.3,39.7
 Males, Western Sydney LHD, 2015-2016, Less than weekly,903,28.9,24.1,33.7
 Males, Western Sydney LHD, 2015-2016, Weekly,903,27.9,23.2,32.6
 Males, Western Sydney LHD, 2015-2016, Daily,903,9.2,0.4,18
 Males, Western Sydney LHD, 2016-2017, Never,849,34.4,30.5,38.3
 Males, Western Sydney LHD, 2016-2017, Less than weekly,849,30.9,27.3,34.6
 Males, Western Sydney LHD, 2016-2017, Weekly,849,29.2,25.7,32.8
 Males, Western Sydney LHD, 2016-2017, Daily,849,5.4,3.8,7.1
 Males, Nepean Blue Mountains LHD, 2002-2003, Never,652,15.9,12.9,19
 Males, Nepean Blue Mountains LHD, 2002-2003, Less than weekly,652,30.1,26.1,34.2
 Males, Nepean Blue Mountains LHD, 2002-2003, Weekly,652,40.9,36.6,45.1
 Males, Nepean Blue Mountains LHD, 2002-2003, Daily,652,13.1,10.4,15.7
 Males, Nepean Blue Mountains LHD, 2003-2004, Never,583,19.1,15.5,22.7
 Males, Nepean Blue Mountains LHD, 2003-2004, Less than weekly,583,29.9,25.6,34.3
 Males, Nepean Blue Mountains LHD, 2003-2004, Weekly,583,38,33.4,42.6
 Males, Nepean Blue Mountains LHD, 2003-2004, Daily,583,12.9,10.1,15.8
 Males, Nepean Blue Mountains LHD, 2004-2005, Never,490,20.7,16.6,24.8
 Males, Nepean Blue Mountains LHD, 2004-2005, Less than weekly,490,28.7,23.6,33.8
 Males, Nepean Blue Mountains LHD, 2004-2005, Weekly,490,38.6,33.2,43.9
 Males, Nepean Blue Mountains LHD, 2004-2005, Daily,490,12,9.1,15
 Males, Nepean Blue Mountains LHD, 2005-2006, Never,347,21.5,16.1,26.9
 Males, Nepean Blue Mountains LHD, 2005-2006, Less than weekly,347,24.8,18.7,30.8
 Males, Nepean Blue Mountains LHD, 2005-2006, Weekly,347,42.6,35.5,49.6
 Males, Nepean Blue Mountains LHD, 2005-2006, Daily,347,11.1,7.6,14.7
 Males, Nepean Blue Mountains LHD, 2006-2007, Never,267,20,13.8,26.3
 Males, Nepean Blue Mountains LHD, 2006-2007, Less than weekly,267,22.4,15.5,29.2
 Males, Nepean Blue Mountains LHD, 2006-2007, Weekly,267,48,39.7,56.2
 Males, Nepean Blue Mountains LHD, 2006-2007, Daily,267,9.7,5.7,13.6
 Males, Nepean Blue Mountains LHD, 2007-2008, Never,285,21.1,15.5,26.7
 Males, Nepean Blue Mountains LHD, 2007-2008, Less than weekly,285,24.5,17.9,31.2
 Males, Nepean Blue Mountains LHD, 2007-2008, Weekly,285,45.7,38.6,52.9
 Males, Nepean Blue Mountains LHD, 2007-2008, Daily,285,8.7,5.6,11.7
 Males, Nepean Blue Mountains LHD, 2008-2009, Never,336,22.6,17.3,27.9
 Males, Nepean Blue Mountains LHD, 2008-2009, Less than weekly,336,23.4,17.3,29.6
 Males, Nepean Blue Mountains LHD, 2008-2009, Weekly,336,45.4,38.6,52.3
 Males, Nepean Blue Mountains LHD, 2008-2009, Daily,336,8.5,5.9,11.2
 Males, Nepean Blue Mountains LHD, 2009-2010, Never,345,23.8,17.6,29.9
 Males, Nepean Blue Mountains LHD, 2009-2010, Less than weekly,345,24.5,18.3,30.6
 Males, Nepean Blue Mountains LHD, 2009-2010, Weekly,345,42.2,35.2,49.2
 Males, Nepean Blue Mountains LHD, 2009-2010, Daily,345,9.6,6.6,12.5
 Males, Nepean Blue Mountains LHD, 2010-2011, Never,465,22,16.4,27.6
